language,type,lexicon,grammar,lexicon_grammar,avg_ms_complexity
artificial_language_g0_264,artificial,99,0,99,1.000000000000001
artificial_language_g0_265,artificial,99,0,99,1.000000000000001
artificial_language_g0_266,artificial,88,2,90,1.0017109488929363
artificial_language_g0_267,artificial,72,0,72,1.0068186844116327
artificial_language_g0_268,artificial,96,2,98,1.000514950146041
artificial_language_g0_269,artificial,74,2,76,1.022311796832338
artificial_language_g0_270,artificial,97,0,97,1.0002684650594516
artificial_language_g0_271,artificial,74,0,74,1.0155795619392216
artificial_language_g0_272,artificial,94,3,97,1.0021262299689777
artificial_language_g0_273,artificial,90,0,90,1.001448660787182
artificial_language_g0_274,artificial,97,0,97,1.0005168342443367
artificial_language_g0_275,artificial,78,11,89,1.010941915241453
artificial_language_g0_276,artificial,70,3,73,1.0138853182503011
artificial_language_g0_277,artificial,85,0,85,1.0026318629573603
artificial_language_g0_278,artificial,98,3,101,1.000658421940546
artificial_language_g0_279,artificial,59,0,59,1.0810125833353876
artificial_language_g0_280,artificial,59,0,59,1.0099350118903854
artificial_language_g0_281,artificial,97,6,103,1.0067659237617572
artificial_language_g0_282,artificial,99,0,99,1.000000000000001
artificial_language_g0_283,artificial,99,0,99,1.000000000000001
artificial_language_g0_284,artificial,89,2,91,1.001796773429109
artificial_language_g0_285,artificial,81,9,90,1.0144004400404874
artificial_language_g0_286,artificial,81,2,83,1.0029573727198073
artificial_language_g0_287,artificial,65,2,67,1.006287159405648
artificial_language_g0_288,artificial,97,0,97,1.0002521936719837
artificial_language_g0_289,artificial,52,5,57,1.0193263864692987
artificial_language_g0_290,artificial,84,0,84,1.00470469940702
artificial_language_g0_291,artificial,98,22,120,1.0065373718273078
artificial_language_g0_292,artificial,76,42,118,1.0508310837855637
artificial_language_g0_293,artificial,79,4,83,1.0053277107014096
artificial_language_g0_294,artificial,85,0,85,1.0088637116691215
artificial_language_g0_295,artificial,91,14,105,1.007100454887037
artificial_language_g0_296,artificial,60,0,60,1.016300725335571
artificial_language_g0_297,artificial,26,3,29,1.5137442965921621
artificial_language_g0_298,artificial,99,0,99,1.000000000000001
artificial_language_g0_299,artificial,68,2,70,1.001479385241605
